t,attack_bias_m,estimated_x_m,estimated_y_m,estimated_z_m,true_x_m,true_y_m,true_z_m,position_error_m,clock_bias_m,mean_abs_residual_m,max_abs_residual_m,n_satellites,converged,n_iterations
45.0,0.0,-2693902.295705983,-4297481.434380641,3854219.6914768023,-2693926.04767216,-4297473.816608274,3854218.1603911705,24.990609762857236,58.890771484462825,3.1503022323761667,6.5401470474898815,7,True,2
46.0,0.0,-2693895.71825819,-4297466.973554126,3854211.9752483787,-2693926.04767216,-4297473.816608274,3854218.1603911705,31.701052556603305,49.1098063340054,5.9588226436504295,10.624606922268867,7,True,2
47.0,0.0,-2693895.845402789,-4297467.586959699,3854211.600981138,-2693926.04767216,-4297473.816608274,3854218.1603911705,31.527947229550545,45.20478141028405,3.8273187689483166,6.888467952609062,7,True,2
48.0,0.0,-2693891.233793946,-4297468.161799556,3854216.08467335,-2693926.04767216,-4297473.816608274,3854218.1603911705,35.331170125161556,49.030218067008605,5.555398366813149,12.013625912368298,7,True,2
49.0,0.0,-2693890.044788022,-4297468.873667429,3854204.871287407,-2693926.04767216,-4297473.816608274,3854218.1603911705,38.69419348283853,40.86611362538022,2.6089986552085196,5.977044265717268,7,True,2
50.0,0.0,-2693889.5665676957,-4297492.621415707,3854225.904571474,-2693926.04767216,-4297473.816608274,3854218.1603911705,41.76678218508208,68.41298122552328,6.348197584173509,13.314290218055248,7,True,2
51.0,0.0,-2693899.2939138394,-4297485.54172509,3854216.263428401,-2693926.04767216,-4297473.816608274,3854218.1603911705,29.27183657305578,63.08459487298706,7.357995921479804,13.86181441694498,7,True,2
52.0,0.0,-2693895.909270042,-4297489.502744958,3854219.668306636,-2693926.04767216,-4297473.816608274,3854218.1603911705,34.00958652089842,62.93378178651073,5.256929900497198,12.516258042305708,7,True,2
53.0,0.0,-2693891.7605674854,-4297480.389179479,3854221.9574348475,-2693926.04767216,-4297473.816608274,3854218.1603911705,35.1172575793892,60.65272734487181,5.20436412521771,9.017255809158087,7,True,2
54.0,0.0,-2693890.5201130905,-4297489.991141296,3854218.8589113164,-2693926.04767216,-4297473.816608274,3854218.1603911705,39.042424390596956,60.557592379336455,5.697725722832339,11.906935349106789,7,True,2
55.0,0.0,-2693895.6490162364,-4297489.280844796,3854213.4676317424,-2693926.04767216,-4297473.816608274,3854218.1603911705,34.427356625513426,55.190105661490975,5.1145819175456255,8.032660596072674,7,True,2
56.0,0.0,-2693896.995827765,-4297493.4530933425,3854221.754523506,-2693926.04767216,-4297473.816608274,3854218.1603911705,35.24938291392889,61.78150056811688,6.863594352134636,11.228354286402464,7,True,2
57.0,0.0,-2693900.8383831987,-4297498.574773197,3854221.1536331982,-2693926.04767216,-4297473.816608274,3854218.1603911705,35.46032258889315,65.44029248221892,6.0870068935411314,10.96046382933855,7,True,2
58.0,0.0,-2693901.1527055916,-4297507.340544996,3854220.57770344,-2693926.04767216,-4297473.816608274,3854218.1603911705,41.82651183584225,69.37757531411756,4.502053880797965,8.720581743866205,7,True,2
59.0,0.0,-2693902.2449775613,-4297490.699842889,3854212.4039538847,-2693926.04767216,-4297473.816608274,3854218.1603911705,29.744721404508237,58.76628272476388,2.6010870949498246,4.2500104904174805,7,True,2
60.0,0.0,-2693901.4211162184,-4297486.66622411,3854209.324185055,-2693926.04767216,-4297473.816608274,3854218.1603911705,29.148900891387594,53.054464510206856,2.8957649804651737,4.448639795184135,7,True,2
61.0,0.0,-2693903.269545846,-4297492.261258607,3854211.353997176,-2693926.04767216,-4297473.816608274,3854218.1603911705,30.089452694631145,54.09658299276304,2.6974910689251765,5.506439194083214,7,True,2
62.0,0.0,-2693901.2881882177,-4297492.974440813,3854215.874781068,-2693926.04767216,-4297473.816608274,3854218.1603911705,31.38914790514515,56.396238778538766,3.1885902849691257,5.642711006104946,7,True,2
63.0,0.0,-2693907.273001955,-4297515.164049508,3854205.180086978,-2693926.04767216,-4297473.816608274,3854218.1603911705,47.229095214916754,63.81757306280148,5.932738572891269,11.495109051465988,7,True,2
64.0,0.0,-2693906.705298971,-4297489.671568741,3854201.4599785637,-2693926.04767216,-4297473.816608274,3854218.1603911705,30.073426030705036,47.88690729362703,3.838884796947241,7.063604936003685,7,True,2
65.0,0.0,-2693900.1005697935,-4297505.808174458,3854219.6649948657,-2693926.04767216,-4297473.816608274,3854218.1603911705,41.21863972039585,68.22741031433806,3.45249104020851,6.716459855437279,7,True,2
66.0,0.0,-2693900.498940886,-4297486.542526814,3854198.776606995,-2693926.04767216,-4297473.816608274,3854218.1603911705,34.50243123823488,44.10879255346648,3.9391949559961046,7.462640728801489,7,True,2
67.0,0.0,-2693904.8208206943,-4297515.429071987,3854213.507204784,-2693926.04767216,-4297473.816608274,3854218.1603911705,46.94495183650516,69.62792232479994,5.4882756013955385,9.383336961269379,7,True,2
68.0,0.0,-2693896.5566375325,-4297468.006442428,3854205.663951509,-2693926.04767216,-4297473.816608274,3854218.1603911705,32.55211444395887,40.30832213256641,3.408598237804004,7.10071412473917,7,True,2
69.0,0.0,-2693899.921212729,-4297469.527012698,3854206.598490288,-2693926.04767216,-4297473.816608274,3854218.1603911705,28.89065704717396,41.69195070669538,4.509929791625057,9.896848905831575,7,True,2
70.0,0.0,-2693896.759225676,-4297469.274866237,3854200.961934602,-2693926.04767216,-4297473.816608274,3854218.1603911705,34.26700200672046,39.74028418003407,0.9396035681877818,2.0083751268684864,7,True,2
