t,n_satellites,n_abnormal_20m,n_abnormal_50m,n_relative_abnormal,abnormal_fraction_20m,abnormal_fraction_50m,relative_abnormal_fraction,mean_abs_residual_m,median_abs_residual_m,max_abs_residual_m,mean_signed_residual_m,median_signed_residual_m,sign_consistency,multi_satellite_event,coordinated_event
14.0,7,0,0,0,0.0,0.0,0.0,2.8944181970187595,2.6566073521971703,5.288007166236639,1.064368656703404e-09,-0.243531908839941,0.5714285714285714,False,False
15.0,7,0,0,1,0.0,0.0,0.14285714285714285,6.10737658398492,6.205439370125532,10.471646845340729,1.064368656703404e-09,1.990762498229742,0.5714285714285714,False,False
16.0,7,0,0,0,0.0,0.0,0.0,3.620509961353881,4.0363794304430485,6.512759145349264,1.596553016775764e-09,-1.4433683082461355,0.5714285714285714,False,False
17.0,7,0,0,1,0.0,0.0,0.14285714285714285,5.0955472114895075,4.5477792955935,9.592875320464373,-1.596552985055106e-09,-2.655128560960293,0.7142857142857143,False,False
18.0,7,0,0,0,0.0,0.0,0.0,4.390408516994545,4.378685638308525,7.802788861095905,-1.064368656703404e-09,-1.5421185083687303,0.5714285714285714,False,False
19.0,8,0,0,1,0.0,0.0,0.125,5.597270348109305,5.734220931306481,8.933233838528395,9.313225746154785e-10,2.7351336032152176,0.625,False,False
20.0,8,0,0,0,0.0,0.0,0.0,2.5248991665430367,2.561342651024461,5.331812988966703,-4.656612873077393e-10,-0.8576832134276628,0.5,False,False
21.0,7,0,0,0,0.0,0.0,0.0,3.041107604014022,2.321289725601673,6.3307741060853004,-1.596552985055106e-09,0.2752979099750519,0.5714285714285714,False,False
22.0,7,0,0,0,0.0,0.0,0.0,1.7629400709910052,1.5913388803601265,3.2199364863336086,-1.596552985055106e-09,-0.2374183051288128,0.5714285714285714,False,False
23.0,7,0,0,0,0.0,0.0,0.0,4.47326734662056,4.604290425777435,8.312183894217014,3.193105970110212e-09,-1.5131485015153885,0.5714285714285714,False,False
24.0,7,0,0,0,0.0,0.0,0.0,2.8283402925091132,2.8405853249132638,4.4433462880551815,2.6609217051998257e-09,-0.4962775558233261,0.5714285714285714,False,False
25.0,7,0,0,0,0.0,0.0,0.0,3.1171415033085004,2.542999804019928,5.8027247823774815,3.19310600183087e-09,-0.9219855591654778,0.5714285714285714,False,False
26.0,7,0,0,0,0.0,0.0,0.0,4.0302595139614175,3.608972199261189,7.777633339166641,-1.5965530484964218e-09,-2.9992974773049355,0.5714285714285714,False,False
27.0,8,1,0,4,0.125,0.0,0.5,12.560172602999955,10.514216220006347,28.088827058672905,4.656612873077393e-10,1.8146497514098883,0.5,False,False
28.0,8,1,0,4,0.125,0.0,0.5,10.427793270442635,9.190388567745686,27.85398979857564,2.3283064365386963e-09,0.8881312925368547,0.5,False,False
29.0,8,1,0,2,0.125,0.0,0.25,9.802567426115274,7.990455055609345,28.269321873784065,-2.220446049250313e-16,1.8792973775416613,0.5,False,False
30.0,8,2,0,5,0.25,0.0,0.625,15.328644359018654,14.398289768025279,29.551650531589985,4.190951585769653e-09,-5.790250241756439,0.625,False,False
31.0,8,1,0,4,0.125,0.0,0.5,9.884461185894907,8.424173805862665,23.482573971152306,-3.725290298461914e-09,2.226387722417712,0.625,False,False
32.0,8,2,0,4,0.25,0.0,0.5,12.62390466593206,10.91602612659335,28.037739351391792,9.313225746154785e-10,4.050221908837557,0.625,False,False
33.0,7,0,0,0,0.0,0.0,0.0,3.307808544486761,2.7585564106702805,7.149335470050573,-5.32184328351702e-10,1.1310796551406384,0.5714285714285714,False,False
34.0,7,0,0,0,0.0,0.0,0.0,3.914139135075467,5.029553446918726,6.822139341384172,-1.596552985055106e-09,-0.3137758076190948,0.5714285714285714,False,False
35.0,7,0,0,0,0.0,0.0,0.0,2.0157339242952212,1.7934962585568428,5.132886979728937,1.064368656703404e-09,0.0275053046643733,0.5714285714285714,False,False
36.0,7,0,0,0,0.0,0.0,0.0,3.768522461610181,3.321024969220161,7.8103210888803005,-2.1287369962002297e-09,0.1517401486635208,0.5714285714285714,False,False
