t,attack_configuration,attack_bias_m,n_attacked_satellites,attack_fraction,clean_position_error_m,attack_position_error_m,delta_position_m,clean_clock_bias_m,attack_clock_bias_m,delta_clock_bias_m,clean_mean_abs_residual_m,attack_mean_abs_residual_m,delta_mean_abs_residual_m,clean_max_abs_residual_m,attack_max_abs_residual_m,n_abnormal_20m,n_abnormal_50m,sign_consistency,clean_converged,attack_converged,time_minutes,temporal_attack_bias_m,attack_active,attack_phase
62.0,3_satellites,20.0,3,0.4285714285714285,31.38914790491014,55.72714808072624,48.923446329603394,56.3962387768196,31.50370770828492,-24.89253106853468,3.1885902855013097,6.778443227389029,3.9879434491906847,5.642711006104946,12.803990915417671,0,0,0.7142857142857143,True,True,1.0333333333333334,20.0,True,20m
63.0,3_satellites,20.0,3,0.4285714285714285,47.22909521476538,59.02104507143457,48.91886642336507,63.81757306473503,38.92755807754244,-24.890014987192583,5.932738571826901,9.491184513483727,4.386925444539104,11.495109055191278,17.294149309396744,0,0,0.5714285714285714,True,True,1.05,20.0,True,20m
64.0,3_satellites,20.0,3,0.4285714285714285,30.0734260305659,63.53629682189235,48.91438636772435,47.88690729267967,22.999309658897698,-24.88759763378197,3.838884796415056,7.990280566470964,4.5815400917615206,7.063604936003685,13.849485863000154,0,0,0.5714285714285714,True,True,1.0666666666666667,20.0,True,20m
65.0,3_satellites,20.0,3,0.4285714285714285,41.21863972166797,52.79671482504122,48.90975645511307,68.22741031501812,43.342379019537525,-24.885031295480594,3.452491039676325,6.656543920614889,3.7782551907002926,6.716459859162569,13.87610863149166,0,0,0.7142857142857143,True,True,1.0833333333333333,20.0,True,20m
66.0,3_satellites,20.0,3,0.4285714285714285,34.50243124074773,69.9758938227256,48.90526204317087,44.10879254926514,19.226181244074134,-24.88261130519101,3.939194954931736,8.52192585915327,4.582730904221535,7.462640725076199,14.62174916639924,0,0,0.5714285714285714,True,True,1.1,20.0,True,20m
67.0,3_satellites,20.0,3,0.4285714285714285,46.944951838422185,54.32851913396771,48.90059432937044,69.62792232771187,44.7479146554536,-24.880007672258277,5.4882756013955385,9.237294109272105,4.151286872902086,9.38333696126938,16.362546131014824,0,0,0.7142857142857143,True,True,1.1166666666666667,20.0,True,20m
68.0,3_satellites,20.0,3,0.4285714285714285,32.55211444668127,74.78524827535054,48.89613918244717,40.30832212836289,15.430696228828864,-24.877625899534024,3.408598237804004,6.928171557507345,4.079813397888627,7.10071412846446,10.547592472285032,0,0,0.5714285714285714,True,True,1.1333333333333333,20.0,True,20m
69.0,3_satellites,20.0,3,0.4285714285714285,28.89065704573119,71.4261839780079,48.89154437337952,41.69195071021335,16.816848977128387,-24.87510173308496,4.509929791092873,6.963090050433364,3.0129797671522414,9.896848909556866,12.138165935873984,0,0,0.5714285714285714,True,True,1.15,20.0,True,20m
70.0,3_satellites,20.0,3,0.4285714285714285,34.267002011951675,77.05491821843141,48.88694332873551,39.74028417465523,14.867703314365336,-24.872580860289894,0.9396035671234132,5.022338642073529,4.137738973434482,2.008375119417906,9.16529244929552,0,0,0.5714285714285714,True,True,1.1666666666666667,20.0,True,20m
71.0,3_satellites,20.0,3,0.375,101.2716988195014,77.69123335798105,31.06894136192754,124.148284757098,112.76243600454572,-11.385848752552263,17.726449471898377,21.678293352480978,5.964258475694805,38.63173659518361,46.94504199177027,4,0,0.625,True,True,1.1833333333333333,20.0,True,20m
