t,solved_x,solved_y,solved_z,clock_bias_m,n_satellites_used,converged,mean_abs_residual_m,confidence,kalman_x,kalman_y,kalman_z,raw_x,raw_y,raw_z,raw_error_m,kalman_error_m
600.0,1137304.8895656136,5162907.361610062,3562429.3327044793,19.18181938046579,6,True,1.5138465253015359,0.9999136974030726,1137300.901165323,5162898.192657216,3562427.949605787,1137304.8895656136,5162907.361610062,3562429.3327044793,18.199668016234057,8.973868899905051
630.0,1137296.9482674196,5162886.626105035,3562433.4903149125,-2.626142971870759,6,True,1.2483979326983292,0.9999569009866235,1137299.8219460773,5162895.034759889,3562429.4623288754,1137296.9482674196,5162886.626105035,3562433.4903149125,4.473361058837549,5.31593032445097
660.0,1137299.7361915302,5162888.98301177,3562437.4473065124,0.1117434242398186,6,True,0.868577861537536,0.999972943889288,1137299.7984473729,5162893.376442683,3562431.650395125,1137299.7361915302,5162888.98301177,3562437.4473065124,5.845991414603955,3.1478850505267544
690.0,1137295.9158004264,5162887.275082249,3562435.131424629,0.04191903499128524,6,True,0.3842187051971753,0.9999786822218801,1137298.7342604531,5162891.70413303,3562432.604503525,1137295.9158004264,5162887.275082249,3562435.131424629,5.251284229467195,1.390816434993047
720.0,1137298.7023764832,5162893.722433112,3562432.1651651077,5.198078196470554,6,True,0.4094344899058342,0.9999824527650147,1137298.725521345,5162892.257330854,3562432.4840848325,1137298.7023764832,5162893.722433112,3562432.1651651077,3.2319507350230645,1.8488099154566016
750.0,1137297.1349314465,5162896.895984275,3562424.596424771,7.692342028148144,6,True,0.21685474241773287,0.9999480795054557,1137298.294180786,5162893.515253692,3562430.345087406,1137297.1349314465,5162896.895984275,3562424.596424771,9.830210611900815,3.4128110793044484
780.0,1137299.4990062753,5162885.680841216,3562440.2814107426,-2.7678420212515453,6,True,1.588530329366525,0.9999264234694922,1137298.6193892255,5162891.40057644,3562433.0271158284,1137299.4990062753,5162885.680841216,3562440.2814107426,9.691009092320753,1.419723455439073
810.0,1137301.2671993035,5162897.542421486,3562430.864449561,9.322244161390822,6,True,0.947393915305535,0.9999639305431253,1137299.3432948028,5162893.079743658,3562432.435847525,1137301.2671993035,5162897.542421486,3562430.864449561,7.622728092469536,2.745027415961493
840.0,1137301.3316899287,5162902.3599121105,3562430.7003253885,14.063226557694149,6,True,1.1960250834623973,0.9999468835725469,1137299.883700891,5162895.601908123,3562431.9641672657,1137301.3316899287,5162902.3599121105,3562430.7003253885,12.24218954130197,5.272175738553201
870.0,1137298.8316249552,5162894.862221004,3562431.404250582,6.474633607574845,6,True,1.0001421545942624,0.9999672511709501,1137299.5959708167,5162895.399612621,3562431.8110368084,1137298.8316249552,5162894.862221004,3562431.404250582,4.4002359289621396,5.009828005728021
